place_id,isletme,kategori,primitif,bolge,adres,lat,lng,telefon,website,puan,yorum_sayisi,google_tipi,transfer_agirligi,skor
ChIJA61xVmm3yhQRtFETFvGlFzk,Kardeşler Oto Tamirhanesi,oto tamir servisi,kisitli alanda alet kullanimi,Osmanbey Sisli,"Eskişehir, Kükürtlü Sk. No:19, 34375 Şişli/İstanbul",41.044368999999996,28.981572800000002,,,,,Araç Bakım ve Onarımı,0.9,0.63
ChIJsYA592u3yhQRBDZ-sH43Gog,Mert Oto Tamir - Bakim,oto tamir servisi,kisitli alanda alet kullanimi,Osmanbey Sisli,"Eskişehir, Küçük Akarca Sk. No:25, 34375 Şişli/İstanbul",41.045148399999995,28.981628100000002,,,5,1,Araç Bakım ve Onarımı,0.9,0.63
ChIJAyB-9ES3yhQR9CV0N5uTIts,Oto Tamir Ve Bakim Servisi Rafet Oto,oto tamir servisi,kisitli alanda alet kullanimi,Osmanbey Sisli,"Paşa, Mahmutağa Sk. No:6, 34379 Şişli/İstanbul",41.0454082,28.968692899999997,,,,,Araç Bakım ve Onarımı,0.9,0.63
ChIJc2_142y3yhQRiVUw6YtzpjY,Sivaslı Kardeşler Oto Servisi,oto tamir servisi,kisitli alanda alet kullanimi,Osmanbey Sisli,"Bozkurt, Dolapdere Cd. No:147, 34375 Şişli/İstanbul",41.0468914,28.984359800000004,,,5,3,Araç Bakım ve Onarımı,0.9,0.63
ChIJb35ZUfi2yhQRmguN-1U0xPI,Tamir Bakim Servisi,oto tamir servisi,kisitli alanda alet kullanimi,Osmanbey Sisli,"Mecidiyeköy Mahallesi, Kır Sk., 34387 Şişli/İstanbul",41.0706947,28.9969114,,,,,Araç Bakım ve Onarımı,0.9,0.63
ChIJs2iVt362yhQRTsPWsw9EL48,Tekinler Oto Bakım Servisi,oto tamir servisi,kisitli alanda alet kullanimi,Osmanbey Sisli,"Huzur, Kemal Atatürk Cd No:8, 34396 Şişli/İstanbul",41.09477,29.004616400000003,,,5,12,Araç Bakım ve Onarımı,0.9,0.63
ChIJIQAbIY-3yhQRL9bw7ArB-b4,"Uğur OTO - Audi, Mercedes, Ford, Renault, Peugeot, Seat, Vw Bakım ve Mekanik Servisi",oto tamir servisi,kisitli alanda alet kullanimi,Osmanbey Sisli,"İnönü mahallesi, Sazlıdere Cadddesi, İnönü, Dolapdere Taksim Cd No:7-9, 34437 Şişli/İstanbul",41.0424514,28.982003,,,4.6,7,Araç Bakım ve Onarımı,0.9,0.63
ChIJ9ScHlUO3yhQR-rtoJfRIrmc,Çelik Oto Tamir Bakim Servisi,oto tamir servisi,kisitli alanda alet kullanimi,Osmanbey Sisli,"Yayla, Yay Meydanı Cd. No:101, 34377 Şişli/İstanbul",41.045846499999996,28.9717178,,,5,6,Araç Bakım ve Onarımı,0.9,0.63
ChIJYwBr9Da3yhQRqN4Ipl_3zmY,Cengiz Oto Tamir Ve Bakım Servisi,oto tamir servisi,kisitli alanda alet kullanimi,Perpa Okmeydani,"Talatpaşa, Mekki Hikmet Gelenbey Sk. No:9, 34400 Kağıthane/İstanbul",41.057599599999996,28.960393199999995,,,3.6,13,Araç Bakım ve Onarımı,0.9,0.63
ChIJ5WodEjm3yhQR2HJb70ZDCyQ,Rayitek Oto Elektronik Bilişim Hizmetleri Sanayi Ve Ticaret Limited Şirketi,oto tamir servisi,kisitli alanda alet kullanimi,Perpa Okmeydani,"Halil Rıfat Paşa, Erdemli Sk. NO:11/1, 34384 Şişli/İstanbul",41.0599827,28.971029899999994,,,5,1,İlgi Çekici Yer,0.9,0.63
ChIJkVWK-uC2yhQROwFka0vr744,Sönmez Oto,oto tamir servisi,kisitli alanda alet kullanimi,Perpa Okmeydani,"Gürsel, Çağlayan Kavşağı Altgeçidi No:98, 34400 Şişli/İstanbul",41.071196199999996,28.978424800000003,,,5,1,Araç Bakım ve Onarımı,0.9,0.63
ChIJ7fR3HOi5yhQRWZuXcSd70UM,Bg Elektronik,elektronik tamir,ince motor manipulasyon,Persembe Pazari Karakoy,"Kemankeş Karamustafa Paşa, Halilpaşa Sk. No:2, 34425 Beyoğlu/İstanbul",41.0221273,28.9757932,,,5,3,Hizmetler,0.9,0.63
ChIJO-CSx-e5yhQRLPnioOdcvfw,Burmein,oto tamir servisi,kisitli alanda alet kullanimi,Persembe Pazari Karakoy,"Arapcami Mah. Tersane Cad Galata Mahkemesi Sk, Han, Arap Cami, Nafe Sk. No:13 Kat:3/13,D:Karaköy, 34421 Beyoğlu/İstanbul",41.0241028,28.971033400000003,,,,,Otomobil Yedek Parça Mağazası,0.9,0.63
ChIJ7cYI9Oe5yhQRj3JR81VNFBE,Elektronikçiler Çarşısı,elektronik tamir,ince motor manipulasyon,Persembe Pazari Karakoy,"Müeyyetzade, Kemeraltı Cd., 34425 Beyoğlu/İstanbul",41.023795,28.975807000000003,,,4.5,15,Alışveriş merkezi,0.9,0.63
ChIJwWnWJua5yhQRaB-tU2dyeF4,Çerko Motor,oto tamir servisi,kisitli alanda alet kullanimi,Persembe Pazari Karakoy,"Müeyyetzade, Perşembe Pazarı Cd. No: 6, 34421 Beyoğlu/İstanbul",41.024030499999995,28.972177699999996,,,,,Araç Bakım ve Onarımı,0.9,0.63
ChIJ2fOJeVm6yhQR-fPauNZEi_A,Alev Elektrik,elektronik tamir,ince motor manipulasyon,Zeytinburnu,"Topkapı Odin Center No 28/335, 34010, Zeytinburnu, Maltepe, Gümüşsuyu Cd., 34010 Zeytinburnu/İstanbul",41.025310399999995,28.9121878,,,4.8,12,Hizmetler,0.9,0.63
ChIJ6xSckzO7yhQRwYqmsZY3Lmg,GÜMÜŞ ELEKTRONİK,elektronik tamir,ince motor manipulasyon,Zeytinburnu,"Seyitnizam, 34015 Zeytinburnu/İstanbul",41.0058775,28.8971473,,,,,Hizmetler,0.9,0.63
ChIJRXPYMVS6yhQR7dSSbmFJI2g,KORKMAZ ELEKTRONİK,elektronik tamir,ince motor manipulasyon,Zeytinburnu,"Maltepe, Ege caddesi Topkapı Ticaret Merkezi D:1. kısım No:158, 34010 Zeytinburnu/İstanbul",41.0175292,28.908663199999996,,,3.7,462,Araç Bakım ve Onarımı,0.9,0.63
ChIJqxrgxg27yhQRwY2sIceXXLE,Oto Tamir,oto tamir servisi,kisitli alanda alet kullanimi,Zeytinburnu,"Çırpıcı, Şht. Yıldıray Menteşe Sok. No:20, 34025 Zeytinburnu/İstanbul",41.0018482,28.896544900000002,,,5,1,Araç Bakım ve Onarımı,0.9,0.63
ChIJbXxEWQy7yhQRjn9-Rknn8VA,Teknik Elektronik,elektronik tamir,ince motor manipulasyon,Zeytinburnu,"Çırpıcı, Rüstem Balkan Sk. NO: 46, 34025 Zeytinburnu/İstanbul",41.000346199999996,28.898591599999996,,,5,2,İlgi Çekici Yer,0.9,0.63
ChIJlTPAtoS7yhQR9d7o4NJMJz4,Umut elektrik elektronik,elektronik tamir,ince motor manipulasyon,Zeytinburnu,"Maltepe, Davutpaşa Çiftehavuzlar Cd, 34010 Zeytinburnu/İstanbul",41.0288621,28.902253499999993,,,5,1,Hizmetler,0.9,0.63
ChIJg24Sage7yhQRyyIO1TsoL3Y,Yiğit Oto Tamir Ve Bakım Servisi,oto tamir servisi,kisitli alanda alet kullanimi,Zeytinburnu,"Seyitnizam, Ambarlar Cd. No:15, 34015 Zeytinburnu/İstanbul",41.0082604,28.905631999999994,,,3.8,4,Araç Bakım ve Onarımı,0.9,0.63
ChIJ4eQBENexyhQRsSmRKXQ6dgI,Bayrampaşa -Viessmann Servisi,beyaz esya servisi,sokme-takma dizisi,Bayrampasa,"Kartaltepe, Taşpınar Sk. No:6/c, 34040 Bayrampaşa/İstanbul",41.056127200000006,28.8972651,,,,,Ev Eşyaları Mağazası,0.88,0.616
ChIJi7pkU9u7yhQRo523phm94Q8,Bayrampaşa Arçelik-Beko Servisi,beyaz esya servisi,sokme-takma dizisi,Bayrampasa,"Terazidere, İlker Sk. No:15/b, 34000 Bayrampaşa/İstanbul",41.0332861,28.9033893,,,5,1,Ev Eşyaları Mağazası,0.88,0.616
ChIJg0TGkXGwyhQRgvvwZyAGY5M,Ikizler Teknik Klima Beyaz Eşya Servisi,beyaz esya servisi,sokme-takma dizisi,Bayrampasa,"Yıldırım, Mostar Sokağı No:20 D:26, 34045 Bayrampaşa/İstanbul",41.0634519,28.889966799999996,,,5,1,Hizmetler,0.88,0.616
ChIJSbO4mXjIyhQRIh2R6_HyvrU,Son Durak Beyaz Eşya Servisi,beyaz esya servisi,sokme-takma dizisi,Ikitelli OSB,"Namık Kemal, Mithat Paşa Cad. No:69/A, 34704 Ümraniye/İstanbul",41.0026424,29.0850144,,,5,1,Hizmetler,0.88,0.616
ChIJ1Xyc7uKkyhQR1FXBsbAj2TQ,Teknik Soğutma Beyaz Eşya Tamir Yedek Parça Satiş Servisi,beyaz esya servisi,sokme-takma dizisi,Ikitelli OSB,"Güneşli, Üsküp Cd No:34, 34212 Bağcılar/İstanbul",41.0343958,28.8266666,,,3.7,7,Hizmetler,0.88,0.616
ChIJVUJ8-I67yhQRpEf1hT_0hr8,Öztürk Teknik Merter Arçelik Beko Yetkili Servisi,beyaz esya servisi,sokme-takma dizisi,Merter,"Merkez Merkez Mah, Ufuk Cd. No:15, 34160 Güngören/İstanbul",41.025158399999995,28.873381900000002,,,,,Hizmetler,0.88,0.616
ChIJcbWWr4jIyhQR8A6TtnSCp68,Beyaz Eşya Teknik Servis,beyaz esya servisi,sokme-takma dizisi,Modoko Umraniye,"Finanskent, 3021. Sk. 10 B, 34762 Ümraniye/İstanbul",41.008393999999996,29.0976941,,,1,1,Hizmetler,0.88,0.616
ChIJhRPtLQDPyhQRjwe613xN7hQ,Mete beyaz eşya servis onarim,beyaz esya servisi,sokme-takma dizisi,Modoko Umraniye,"Cemil Meriç, İstiklal Cd. 53/a, 34771 Ümraniye/İstanbul",41.0205105,29.1428464,,,,,Kurumsal Ofis,0.88,0.616
ChIJs46MW2zPyhQRX797fBM0q7E,Çözüm Teknik Kombi Klima Beyaz Eşya,beyaz esya servisi,sokme-takma dizisi,Modoko Umraniye,"Yukarı Dudullu Mah Göztepe Cad, Yukarı Dudullu, Dal Sk., 34775 Ümraniye/İstanbul",41.0123112,29.1539117,,,3.8,4,Hizmetler,0.88,0.616
ChIJgfgDVHLJyhQROtjssgRQZ4A,Ümraniye Arçelik-Beko Servisi,beyaz esya servisi,sokme-takma dizisi,Modoko Umraniye,"Mehmet Akif, Eşref Edip Sk., 34774 Ümraniye/İstanbul",41.0087386,29.1350211,,,,,Ev Eşyaları Mağazası,0.88,0.616
